node_id,name,jurisdiction,jurisdiction_description,country_codes,countries
10000419,CHINA COAST FREIGHT CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000420,PANGATES INTERNATIONAL CORPORATION LIMITED,SAM,Samoa,ARE,United Arab Emirates
10000421,ACTIVE GROUP LTD.,SAM,Samoa,HKG,Hong Kong
10000422,NINGBO YIHWEI CHEMICALS CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000423,SIYU INTERNATIONAL TRADING CO. LTD.,SAM,Samoa,HKG,Hong Kong
10000424,MIMOSA CONSULTANTS LTD.,SAM,Samoa,HKG,Hong Kong
10000425,YELLOWAY LTD.,SAM,Samoa,CHE,Switzerland
10000426,STONE CANYON CORPORATION,SAM,Samoa,BRA,Brazil
10000427,NEW FRONTIER LIMITED,SAM,Samoa,HKG,Hong Kong
10000428,SILVER TARGET INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000429,OCEAN SPIRIT INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000430,JENFORD INVESTMENTS LTD.,SAM,Samoa,HKG,Hong Kong
10000431,MOSSFON SUBSCRIBERS LTD.,SAM,Samoa,PAN,Panama
10000435,JIA WEY COMPANY LTD.,SAM,Samoa,TWN,Taiwan
10000432,GOODSKY LIMITED,SAM,Samoa,HKG,Hong Kong
10000433,SEA LAND INT'L INC.,SAM,Samoa,HKG,Hong Kong
10000434,Intersul Chemical Corporation,SAM,Samoa,HKG,Hong Kong
10000436,FINANCE MANAGEMENT (NOMINEES) LTD.,SAM,Samoa,HKG,Hong Kong
10000437,TONY KEITH ASSOCIATES LIMITED,SAM,Samoa,HKG,Hong Kong
10000438,GLOBAL WEST LTD.,SAM,Samoa,CHE,Switzerland
10000439,Alpha Furnishing Corporation,SAM,Samoa,HKG,Hong Kong
10000440,GAOGMAU INTERNATIONAL INC.,SAM,Samoa,HKG,Hong Kong
10000441,SUGAR AND COMMODITIES LTD.,SAM,Samoa,CHE,Switzerland
10000442,STRATEGIC MANAGEMENT FINANCE ASIA INT LTD,SAM,Samoa,HKG,Hong Kong
10000443,KELLAND CORPORATION,SAM,Samoa,CHE,Switzerland
10000445,UNIGLOBAL CORPORATION LIMITED,SAM,Samoa,ECU,Ecuador
10000446,GREAT CHINA INTERNATIONAL LIMITED,SAM,Samoa,HKG,Hong Kong
10000447,MAC LIMITED,SAM,Samoa,HKG,Hong Kong
10000448,Hawthorn Holdings Ltd.,SAM,Samoa,GBR,United Kingdom
10000449,Acanthus Investments Ltd,SAM,Samoa,GBR,United Kingdom
10000450,MIGA LIMITED,SAM,Samoa,CHE,Switzerland
10000484,WebTop Group Ltd,SAM,Samoa,ISR,Israel
